SaleDateTime,DeliveryTimeStamp,InvoiceNumber,DeliveryRequired,AppliedOfferName,CustomerName,TaxAmount,ServeTimeStamp,BillingTimeStamp,PaymentType,DiscountAmount,OrderType,ServeStaffName,FranchiseName,TotalBillValue,CustomerLoyaltyNumber,DeliveryFees,FoodItemsPurchased,ChefStaffName,CustomerMobileNumber,ChefTimeStamp,CreditCardDetails,CouponName,FranchiseLocation,CarPlateNumber,DeliveryStaffName,CustomerEmail,BillingStaffName
11/01/2025 10:54,,842,No,20% Off,Tanya Smith,16.78,59:11.5,27/01/2025 13:32,Credit Card,26.16,Inhouse,Dan Shelton,EtaBetaPi_23,376.15,LOY-8961,12.45,"Milkshake, Fish Sandwich, Pepsi, Onion Rings",Joseph Dennis,915-458-2903,30:44.5,,Coupon-670,Charlotte,2ZV6995,Alyssa Jones,diamond16@example.net,Kristen Fletcher
12/01/2025 5:32,52:55.0,843,Yes,Free Fries with Burger,Eduardo Murphy,10.92,35:14.8,01/01/2025 5:48,Cash,18.31,Online,Dr. Dominic Black DDS,EtaBetaPi_23,402.71,LOY-2420,5.12,"Smoothie, Coffee, Fish Sandwich, Hot Dog",Amanda Sexton,771.879.7486x15530,19:07.2,,,Baltimore,,Regina Clements,twells@example.org,Nicholas Thomas
16/01/2025 4:04,06:57.7,844,No,20% Off,Sarah Rodriguez,2.34,22:04.1,22/01/2025 0:04,Digital Wallet,0.67,Drive Through,Omar Henderson,EtaBetaPi_26,39.88,LOY-7387,0.3,Mozzarella Sticks,Angelica Cox,247.559.5644,51:31.0,,,Indianapolis,NMH-269,Samantha Foster,donald19@example.net,Brenda Baird
25/01/2025 18:08,,845,No,Buy 1 Get 1 Free,Eddie Velazquez,25.85,51:43.9,27/01/2025 13:28,Cash,21.18,Uber Eats,Nathan Mcmahon,EtaBetaPi_22,405.53,LOY-2225,7.67,"Burrito, Salad",Paul Stephens,(621)298-9124,15:41.6,**** **** **** 2825,,Indianapolis,,Sarah Hamilton,lfrank@example.net,Brittany Brown
25/01/2025 4:05,,846,Yes,Buy 1 Get 1 Free,Dana Lewis,25.48,29:26.1,02/01/2025 20:24,Digital Wallet,10.76,Online,Patricia Moore,EtaBetaPi_20,302.63,LOY-2291,16.67,"Smoothie, Cheeseburger",Sarah Hamilton,001-307-532-4524,21:59.6,,Coupon-172,Baltimore,,Leah Paul,esmith@example.com,Nathan Mcmahon
08/01/2025 16:56,,847,No,Family Pack Offer,Rickey Kim,19.16,37:20.7,11/01/2025 18:26,Credit Card,29.17,Inhouse,Bruce Robles,EtaBetaPi_21,154.81,LOY-1676,0.46,"Veggie Burger, Pasta, Pepsi",Richard Fernandez,469-993-1010x68957,15:53.8,,Coupon-539,Charlotte,CB8 9005,Megan Vazquez,perezedward@example.net,Alyssa Jones
04/01/2025 6:05,,848,No,,Jason Fields,10.64,37:38.6,23/01/2025 9:17,Credit Card,8.31,Online,Rachel Martin,EtaBetaPi_28,39.28,LOY-6732,3.91,"Pasta, Taco, Chicken Sandwich",Dana Duncan,+1-522-398-9247x494,01:55.7,,,Columbus,,Leah Paul,wilsonjackson@example.com,Angela Burton
26/01/2025 19:53,57:07.2,849,No,20% Off,Steven Hall,28.55,49:41.0,08/01/2025 0:56,Cash,19.48,Inhouse,Michelle Juarez,EtaBetaPi_22,27.53,LOY-1078,4.58,Mozzarella Sticks,Donald Jones,430.871.6110x6050,33:02.3,**** **** **** 9634,,Columbus,,Erica Salinas,edwardedwards@example.com,Regina Clements
04/01/2025 22:42,50:55.3,850,No,,Ashley Case,15.69,41:47.6,06/01/2025 20:16,Credit Card,17.23,Uber Eats,Dan Shelton,EtaBetaPi_27,229.97,LOY-7420,3.69,Pasta,Devin Christensen,842.830.2129x74249,08:12.7,**** **** **** 9652,,Indianapolis,BU0 G2V,Samantha Foster,stephaniesimon@example.net,Leah Paul
16/01/2025 14:08,,851,No,Free Fries with Burger,Alejandra Garner,7.59,14:56.8,13/01/2025 7:39,Credit Card,8.2,Online,Paul Carr,EtaBetaPi_26,143.44,LOY-9863,18.07,"Fish Sandwich, Fries, Smoothie",Leah Paul,831-780-2126x12171,03:40.5,,Coupon-586,Charlotte,,Shane Acosta,jared27@example.org,Angelica Cox
24/01/2025 23:45,28:59.5,852,Yes,,Roger Gibson,1.77,53:40.3,18/01/2025 13:47,Credit Card,28.1,Inhouse,Sandra Wilson,EtaBetaPi_20,96.05,LOY-8240,8.37,Onion Rings,Angela Burton,913.396.6590,44:55.0,**** **** **** 8442,,Charlotte,081-956,Donald Jones,berryjoseph@example.com,Samantha Foster
15/01/2025 20:45,,853,No,,Jason Butler,6.78,40:24.0,28/01/2025 22:05,Digital Wallet,18.01,Uber Eats,Paul Stephens,EtaBetaPi_26,304.6,LOY-3208,5.36,"Ice Cream, Fish Sandwich, Smoothie, Salad",Angela Burton,979.627.8579,37:19.4,**** **** **** 5144,Coupon-192,Baltimore,283 XOP,Stephen Burns,fmartin@example.org,Sandra Wilson
10/01/2025 8:30,39:12.6,854,No,Buy 1 Get 1 Free,Ms. Madison Mcdaniel,49.82,28:34.5,27/01/2025 14:25,Credit Card,4.76,Inhouse,Jessica Smith,EtaBetaPi_26,437.33,LOY-5334,19.99,"Taco, Chicken Nuggets, Pasta, Ice Cream",Teresa Perkins,430.871.6110x6050,36:37.0,**** **** **** 8374,,Baltimore,MQT-7116,Devin Christensen,ryangrant@example.org,Stephen Burns
23/01/2025 14:57,,855,No,20% Off,Elizabeth Walker,18.55,12:13.7,03/01/2025 20:59,Credit Card,7.04,Online,Kristen Fletcher,EtaBetaPi_23,249.77,LOY-2505,2.2,Smoothie,Nathan Mcmahon,721.606.4351,14:16.6,,,Columbus,,Amber Beck,freemangabriella@example.com,Brittany Brown
14/01/2025 20:29,,856,No,Family Pack Offer,Joseph Allen,40.84,34:41.7,07/01/2025 17:28,Cash,19.65,Inhouse,Patricia Moore,EtaBetaPi_24,228.26,LOY-6520,6.38,Taco,Nicholas Thomas,001-417-812-9931x392,15:45.1,**** **** **** 4601,Coupon-103,Indianapolis,,Nathan Mcmahon,kmarshall@example.com,Stephen Burns
25/01/2025 6:06,13:07.7,857,Yes,,Russell Gamble,35.17,24:37.4,07/01/2025 5:11,Digital Wallet,6.59,Uber Eats,Stephen Burns,EtaBetaPi_27,437.29,LOY-5658,0.48,Pizza,Dan Shelton,372.625.9587x380,23:29.7,,,Indianapolis,,Courtney Ward,ryangrant@example.org,Nathan Mcmahon
10/01/2025 3:19,,858,Yes,,Brian Reynolds,9.71,56:25.7,25/01/2025 20:19,Credit Card,21.46,Uber Eats,Amber Beck,EtaBetaPi_23,220.6,LOY-2968,18.73,Hot Dog,Devin Christensen,288.376.9472,49:00.9,,,Charlotte,,Kristen Fletcher,snelson@example.com,Teresa Perkins
24/01/2025 23:25,,859,Yes,,Devin Gallegos,23.98,13:21.1,26/01/2025 11:56,Credit Card,13.43,Drive Through,Angelica Cox,EtaBetaPi_26,161.21,LOY-1049,12.31,"Cheeseburger, Taco",Regina Clements,906.901.6018x4475,39:55.0,,Coupon-105,Charlotte,868-XPO,Amy Howell,hansenmelanie@example.com,Nathan Mcmahon
26/01/2025 2:42,,860,Yes,,Mrs. Alexis Martinez,43.07,49:50.1,25/01/2025 0:01,Credit Card,17.09,Inhouse,Teresa Perkins,EtaBetaPi_23,340.46,LOY-4500,19.33,Salad,Tracy Roberts,+1-244-578-7418x4099,56:57.1,,,Baltimore,,Paul Carr,erikaingram@example.org,Dan Shelton
08/01/2025 11:55,,861,No,,Lisa Thompson,49.33,02:02.6,19/01/2025 13:48,Credit Card,20.76,Uber Eats,Robert Keller,EtaBetaPi_29,242.1,LOY-2470,7.17,Veggie Burger,Omar Henderson,001-326-201-1221x889,12:52.8,**** **** **** 4480,Coupon-781,Columbus,,Sandra Wilson,randallhamilton@example.org,Travis Lee
28/01/2025 16:01,45:10.6,862,Yes,20% Off,Barbara Williams,16.37,05:59.2,14/01/2025 19:32,Cash,3.24,Drive Through,Donald Jones,EtaBetaPi_29,308.87,LOY-9867,12.81,Chicken Sandwich,Dana Duncan,(831)307-9316x30573,36:18.6,,Coupon-435,Columbus,,Amy Howell,berryjoseph@example.com,Jason Hutchinson
07/01/2025 8:22,54:19.6,863,No,Free Fries with Burger,Jessica Smith,49.08,58:40.6,15/01/2025 0:38,Credit Card,0.43,Drive Through,Ashley Pratt,EtaBetaPi_24,454.95,LOY-3117,19.86,Ice Cream,Kristen Fletcher,5577008094,38:34.2,,,Columbus,HVD6030,Bruce Robles,whitecheryl@example.net,Paul Stephens
02/01/2025 15:01,,864,Yes,Free Fries with Burger,Christine Smith,33.72,10:56.9,22/01/2025 7:17,Cash,4.42,Drive Through,Regina Clements,EtaBetaPi_25,31.89,LOY-2995,0.31,"Milkshake, Fish Sandwich",Angelica Cox,507.843.3130x447,17:43.1,,,Charlotte,393 EJW,Stephen Burns,jared27@example.org,Pamela Bell
15/01/2025 18:14,22:31.4,865,No,20% Off,Jessica Miller,29.93,52:40.3,15/01/2025 16:56,Digital Wallet,23.05,Drive Through,Ashley Pratt,EtaBetaPi_26,429.68,LOY-7955,15.56,"Mozzarella Sticks, Hot Dog, Taco",Joseph Dennis,(468)280-7363,36:52.5,,Coupon-429,Baltimore,HBJ-527,Alyssa Jones,stephanie87@example.com,Eric Gamble
01/01/2025 20:24,02:51.8,866,No,20% Off,Jessica Smith,11.84,09:29.3,16/01/2025 18:49,Cash,27.85,Online,Dr. Dominic Black DDS,EtaBetaPi_25,426.54,LOY-9838,0.72,"Chicken Nuggets, Coffee, Pizza, Fish Sandwich",Kristen Fletcher,001-307-532-4524,31:31.5,**** **** **** 9927,,Columbus,,Jessica Smith,hernandezjody@example.com,Erica Salinas
25/01/2025 15:43,27:21.8,867,No,20% Off,Jessica Parker,9.28,23:30.1,21/01/2025 16:13,Credit Card,8.75,Uber Eats,Stephen Burns,EtaBetaPi_25,332.14,LOY-6207,0.29,"Fries, Fish Sandwich",Donald Jones,(527)481-2763,57:16.9,**** **** **** 9422,Coupon-704,Baltimore,4R LK520,Leah Paul,jared27@example.org,Jason Hutchinson
15/01/2025 10:10,01:01.3,868,Yes,Buy 1 Get 1 Free,Roger Gibson,8.92,30:09.2,18/01/2025 8:47,Credit Card,11.77,Uber Eats,Amber Beck,EtaBetaPi_28,29.6,LOY-5250,12.21,"Salad, Chicken Nuggets",Brittany Brown,(468)280-7363,26:29.3,,,Indianapolis,,Dana Duncan,littlebenjamin@example.org,Jason Hutchinson
15/01/2025 13:07,27:32.2,869,No,Family Pack Offer,Mr. Devin Martinez,49.18,29:42.9,04/01/2025 23:48,Digital Wallet,20.46,Inhouse,Bryan Green,EtaBetaPi_22,418.47,LOY-9873,18.46,"Pepsi, Salad, Chicken Nuggets, Pizza",Megan Vazquez,306.880.6721,33:52.3,,,Charlotte,FAC1013,Travis Lee,edwardedwards@example.com,Shane Acosta
27/01/2025 12:02,39:59.5,870,No,,Courtney Fitzgerald,21.37,22:10.9,02/01/2025 4:09,Digital Wallet,24.28,Online,Amber Beck,EtaBetaPi_26,166.52,LOY-7770,9.12,"Salad, Ice Cream",Dana Duncan,562.239.5312x52265,33:30.0,**** **** **** 1013,Coupon-826,Columbus,176-043,Nicholas Thomas,udeleon@example.org,Nicholas Thomas
20/01/2025 5:06,53:15.6,871,No,Family Pack Offer,John Cardenas,13.86,08:46.1,26/01/2025 2:00,Cash,29.7,Inhouse,Tracy Roberts,EtaBetaPi_23,167.59,LOY-7275,4.18,"Pepsi, Milkshake",Amanda Sexton,+1-992-743-1804x9834,22:50.5,**** **** **** 2113,,Indianapolis,ZVB 480,Brittany Brown,wilsonscott@example.com,Regina Clements
10/01/2025 21:50,,872,No,20% Off,Gregory Martinez,20.38,42:45.8,14/01/2025 23:39,Digital Wallet,20.65,Drive Through,Travis Lee,EtaBetaPi_23,493.21,LOY-9762,7.07,"Chicken Nuggets, Ice Cream, Taco",Angela Burton,216.966.7749x4977,52:59.4,**** **** **** 8132,Coupon-403,Baltimore,PSJ 6353,Regina Clements,amy73@example.com,Michelle Juarez
27/01/2025 12:45,,873,No,,Jessica Avila MD,17.12,31:05.8,05/01/2025 2:21,Digital Wallet,29.42,Online,Amy Howell,EtaBetaPi_28,113.16,LOY-7873,7.74,"Pizza, Cheeseburger, Ice Cream, Salad",Bruce Robles,+1-449-906-9917x70970,24:10.3,,,Charlotte,,Robert Keller,kevans@example.net,Courtney Ward
14/01/2025 21:00,,874,No,20% Off,Lauren Valencia,3.71,45:46.7,10/01/2025 10:30,Credit Card,23.37,Uber Eats,Omar Henderson,EtaBetaPi_25,453.61,LOY-7110,11.18,"Mozzarella Sticks, Cheeseburger, Pasta, Pizza",Samantha Foster,507.843.3130x447,04:10.4,**** **** **** 7558,Coupon-738,Baltimore,FZD-2293,Jessica Smith,kevans@example.net,Devin Christensen
17/01/2025 0:08,,875,No,Buy 1 Get 1 Free,Courtney Fitzgerald,39.92,17:59.2,03/01/2025 4:17,Cash,10.56,Online,Bruce Robles,EtaBetaPi_29,87.07,LOY-7049,4.95,"Salad, Pepsi",Nathan Mcmahon,001-342-363-8444x24433,57:09.3,,,Indianapolis,MDM 190,Sarah Hamilton,heaton@example.net,Brenda Baird
20/01/2025 2:25,,876,No,Buy 1 Get 1 Free,Jacqueline Thompson,20.94,31:13.3,19/01/2025 2:35,Digital Wallet,17.38,Uber Eats,Shane Acosta,EtaBetaPi_22,21.05,LOY-3258,17.6,"Chicken Nuggets, Milkshake, Pepsi, Taco",Megan Vazquez,(811)969-8904,49:13.2,**** **** **** 5167,Coupon-407,Charlotte,331 7243,Patricia Moore,stevenspencer@example.com,Dana Duncan
18/01/2025 13:57,,877,Yes,Free Fries with Burger,Bradley Allen,45.29,04:55.7,13/01/2025 15:11,Credit Card,6.87,Drive Through,Dan Shelton,EtaBetaPi_22,29.19,LOY-7799,2.4,Smoothie,Rachel Martin,447.365.0442,43:55.9,,Coupon-735,Baltimore,418 7MF,Bruce Robles,twells@example.org,Brittany Brown
21/01/2025 5:40,,878,Yes,,Dana Lewis,21.48,39:33.6,12/01/2025 0:21,Credit Card,15.07,Uber Eats,Laurie Brown,EtaBetaPi_26,275.72,LOY-6353,8.79,"Onion Rings, Salad",Eric Gamble,583-941-9005x24854,05:22.2,**** **** **** 5243,Coupon-175,Charlotte,4SX 898,Joseph Dennis,rachelfox@example.org,Teresa Perkins
07/01/2025 4:53,29:42.9,879,Yes,Family Pack Offer,Jennifer Strickland,44.8,20:36.0,23/01/2025 9:22,Digital Wallet,19.28,Online,Dana Duncan,EtaBetaPi_23,155.46,LOY-9485,17.83,"Onion Rings, Chicken Sandwich, Taco",Sarah Henson,(431)324-2260,12:51.9,,,Columbus,KZH 220,Angela Burton,hallmathew@example.net,Shane Acosta
09/01/2025 23:15,05:59.7,880,No,20% Off,Jason Fields,16.61,45:41.7,04/01/2025 4:15,Cash,17.24,Inhouse,Regina Clements,EtaBetaPi_22,248.52,LOY-9025,12.67,Smoothie,Brenda Baird,545-715-5559x729,25:40.2,**** **** **** 1369,,Columbus,,Rachel Martin,morgan09@example.net,Alyssa Jones
19/01/2025 1:30,,881,Yes,Free Fries with Burger,Eric Stephens,16.85,26:11.9,01/01/2025 4:03,Cash,11.84,Uber Eats,Erica Salinas,EtaBetaPi_27,343.01,LOY-4347,11.68,"Salad, Burrito",Kristen Fletcher,906.901.6018x4475,20:21.6,**** **** **** 2959,,Columbus,,Bruce Robles,berryjoseph@example.com,Angelica Cox
02/01/2025 15:32,,882,Yes,Buy 1 Get 1 Free,Mrs. Alexis Martinez,42.47,51:12.1,18/01/2025 12:23,Cash,15.13,Inhouse,Ashley Pratt,EtaBetaPi_25,335.51,LOY-2565,16.26,Salad,Travis Lee,001-707-735-9070,28:22.8,**** **** **** 6589,,Baltimore,854-JYR,Laurie Brown,heaton@example.net,Lisa Gomez
17/01/2025 15:55,24:24.8,883,No,Family Pack Offer,Michael Torres,39.42,21:45.0,14/01/2025 15:21,Cash,12.61,Drive Through,Michelle Juarez,EtaBetaPi_29,182.21,LOY-4434,7.39,"Coke, Pepsi",Paul Carr,466-300-6481x2988,43:49.8,**** **** **** 2166,Coupon-541,Baltimore,,Nicholas Thomas,kenneth24@example.com,Tracy Roberts
25/01/2025 14:31,45:24.2,884,No,Free Fries with Burger,Michelle Clark,14.51,56:16.0,03/01/2025 6:24,Digital Wallet,19.14,Uber Eats,Stephen Burns,EtaBetaPi_20,264.47,LOY-5978,19.2,"Smoothie, Chicken Nuggets",Robert Keller,(527)481-2763,51:13.5,,Coupon-396,Baltimore,YYB 686,Omar Henderson,jared27@example.org,Nathan Mcmahon
16/01/2025 21:42,15:08.1,885,No,Free Fries with Burger,Anna Hicks,20.08,15:02.5,19/01/2025 11:13,Credit Card,14.97,Uber Eats,Regina Clements,EtaBetaPi_27,139.9,LOY-3487,11.67,Pepsi,Amy Howell,(991)547-6770,39:47.2,**** **** **** 4037,,Charlotte,739U,Eric Gamble,kevans@example.net,Travis Lee
12/01/2025 1:10,28:04.4,886,Yes,Family Pack Offer,Rickey Kim,14.24,55:05.4,03/01/2025 23:32,Cash,17.8,Inhouse,Paul Carr,EtaBetaPi_23,474.78,LOY-2434,16.24,"Veggie Burger, Hot Dog, Cheeseburger",Brittany Brown,001-417-812-9931x392,35:49.7,**** **** **** 7571,Coupon-783,Charlotte,,Wendy Perkins,heidi59@example.com,Bruce Robles
25/01/2025 1:47,15:17.7,887,No,20% Off,Kerry Cooke,49.13,32:44.5,18/01/2025 2:19,Digital Wallet,2.94,Online,Bryan Green,EtaBetaPi_21,212.25,LOY-3948,19.64,"Onion Rings, Chicken Sandwich, Ice Cream, Salad",Stephen Burns,460.328.6655,41:18.8,,,Charlotte,,Nathan Mcmahon,rhansen@example.com,Brenda Baird
24/01/2025 2:46,30:44.4,888,No,,Antonio Brown,31.35,56:55.1,05/01/2025 7:22,Digital Wallet,24.25,Uber Eats,Angela Burton,EtaBetaPi_20,67.61,LOY-4827,12.9,"Milkshake, Veggie Burger, Fish Sandwich",Dana Duncan,715-323-1656x1721,03:21.3,**** **** **** 5290,,Indianapolis,,Megan Vazquez,milleralison@example.net,Bruce Robles
26/01/2025 15:28,00:11.5,889,No,Family Pack Offer,Sarah Rodriguez,40.46,27:39.1,23/01/2025 20:38,Credit Card,20.67,Drive Through,Samantha Foster,EtaBetaPi_20,247.72,LOY-6463,4.59,"Taco, Fish Sandwich, Pasta, Fries",Travis Lee,001-707-735-9070,26:50.3,,Coupon-529,Columbus,601 AB0,Pamela Bell,kathleenpoole@example.com,Sarah Henson
22/01/2025 10:35,19:51.7,890,Yes,,Eric Stephens,13.8,12:11.8,27/01/2025 6:29,Digital Wallet,2.81,Online,Jessica Smith,EtaBetaPi_25,41.67,LOY-8959,5.61,"Coffee, Taco, Milkshake",Teresa Perkins,497-559-9768x0973,07:36.2,**** **** **** 1797,,Columbus,LSR-999,Sarah Henson,connormartinez@example.com,Sandra Wilson
04/01/2025 7:57,06:25.2,891,No,Family Pack Offer,Shelia Franklin,22.7,07:03.3,06/01/2025 13:06,Digital Wallet,10.9,Drive Through,Brenda Baird,EtaBetaPi_23,383.89,LOY-8287,7.49,Hot Dog,Richard Fernandez,372.625.9587x380,20:10.2,**** **** **** 3909,Coupon-215,Indianapolis,,Lisa Gomez,kevin75@example.com,Sandra Wilson
09/01/2025 21:12,,892,Yes,Free Fries with Burger,Michelle Williamson,13.61,21:03.9,19/01/2025 15:54,Cash,7.98,Drive Through,Dana Duncan,EtaBetaPi_25,280.76,LOY-3424,8.26,"Cheeseburger, Pizza",Lisa Gomez,794.541.1073x4123,41:25.3,,,Baltimore,,Sarah Hamilton,edwardedwards@example.com,Brittany Brown
03/01/2025 14:26,,893,No,Buy 1 Get 1 Free,John Walker,28.96,11:25.9,27/01/2025 21:42,Digital Wallet,16.31,Inhouse,Robert Keller,EtaBetaPi_24,90.77,,16.03,"Coffee, Cheeseburger",Dana Duncan,697-356-2827x6467,12:36.4,**** **** **** 3392,Coupon-741,Columbus,,Devin Christensen,kevin75@example.com,Leah Paul
21/01/2025 20:55,55:16.1,894,No,20% Off,Mary Martin,39.81,03:00.6,26/01/2025 2:57,Digital Wallet,29.92,Inhouse,Sarah Hamilton,EtaBetaPi_21,49.47,LOY-4835,0.93,"Veggie Burger, Chicken Sandwich",Michelle Juarez,831-780-2126x12171,03:19.0,,Coupon-331,Baltimore,14J•728,Sarah Hamilton,batescatherine@example.net,Richard Fernandez
14/01/2025 9:08,,895,No,Free Fries with Burger,Lauren Valencia,24.57,14:34.1,10/01/2025 5:09,Cash,22.96,Inhouse,Angela Burton,EtaBetaPi_27,247.61,,16.85,Pasta,Richard Fernandez,(754)219-6592,10:21.9,**** **** **** 4328,Coupon-535,Charlotte,213L,Sarah Henson,kevin75@example.com,Anthony Turner
10/01/2025 1:31,16:07.4,896,Yes,Buy 1 Get 1 Free,Mrs. Amanda Bennett DDS,19.42,46:15.9,22/01/2025 21:20,Credit Card,6.95,Inhouse,Teresa Perkins,EtaBetaPi_25,239.91,LOY-5125,13.09,Taco,Brittany Brown,846.696.4875x3514,19:48.7,,Coupon-908,Indianapolis,,Travis Lee,jacquelinefarrell@example.net,Sarah Henson
12/01/2025 7:20,43:09.6,897,Yes,Buy 1 Get 1 Free,Bradley Allen,32.14,01:09.5,12/01/2025 5:35,Credit Card,19.66,Drive Through,Richard Fernandez,EtaBetaPi_23,423.61,LOY-5611,5.55,Hot Dog,Samantha Foster,497-559-9768x0973,54:27.9,**** **** **** 4270,,Baltimore,ZRR-3135,Amanda Sexton,burtondaniel@example.net,Leah Paul
11/01/2025 14:46,12:54.6,898,No,Buy 1 Get 1 Free,Philip Hughes,25.86,25:27.8,19/01/2025 8:05,Cash,9.9,Drive Through,Kristen Fletcher,EtaBetaPi_21,294.18,LOY-6520,6.02,"Salad, Onion Rings",Sarah Henson,995-941-8628,46:03.3,**** **** **** 2460,Coupon-319,Indianapolis,RNR-9624,Angela Burton,markdixon@example.com,Paul Carr
